Title,Author,Summary,Categories & Tags,Rating,Rank
Shadowless Night,Miyu Kim,"[If you enter the deep forest, you will be eaten by the shadows.The shadows of the forest move when a person is not looking.There is a shadow that mimics people in the deep forest.The shadow of the forest speaks.]Rosaline, of the Knights of the White Night, had gone missing after being attacked by enemy forces during a hunting contest.However, she was found unconscious, badly injured, and lying beneath the cliff.Rosaline, who woke up a few days later, seemed to have severe memory loss. It was difficult for her to speak even simple words.She was found walking barefoot, in her pajamas, talking informally here and there. She would even pick up food off the floor!She’s a strange girl no matter how you look at her. Is that really Rosaline?","Action, Comedy, Fantasy, Josei, Mature, Romance, Adapted to Manhwa, Beautiful Female Lead, Character Growth, Comedic Undertone, Contracts, Different Social Status, Empires, European Ambience, Fast Learner, Fated Lovers, Fearless Protagonist, Female Protagonist, Gods, Gore, Handsome Male Lead, Humanoid Protagonist, Kingdoms, Knights, Lack of Common Sense, Love Interest Falls in Love First, Mysterious Past, Naive Protagonist, Nobles, Poisons, Power Struggle, Royalty, Ruthless Protagonist, Schemes And Conspiracies, Slow Romance, Strong to Stronger, Sword And Magic, Sword Wielder, Tragic Past, Transformation Ability, Wars, ",3.5,1113
"As An Immortal, I Only Learn Forbidden Skills",Drizzle,"When Jiang Ming woke up in a strange world, he learned he had obtained immortality.In the dangerous and ruthless world of cultivation, he was determined to carve his unique path. Taking advantage of his immortality, he vowed to learn forbidden skills that would normally eat away at the user’s life.As he continued on his path, Jiang Ming realized that with his forbidden skills, he could become the strongest.","Fantasy, Xuanhuan, Action, Martial Arts, Cheats, Cultivation, Immortals, Male Protagonist, Transmigration, Overpowered Protagonist, Weak to Strong, Demonic Cultivation Technique, ",3.7,666
Rise Of The Infinite Sovereign,VOID_,"Kevin Reed gained enlightenment at the brink of death, as he sees the one he pledged allegiance to, and some long-time comrades betray him.He closes his eyes one last time thinking, 'If only I had known'Yet against all odds, he finds himself back in time in the body of the fourth prince of the royal family of a soon-to-fall Empire.This is the story of a Knight who uses the machinations of an Empire to take his revenge on all those who betrayed him.A man who uses the knowledge of the future to get the best out of every situation.A man preparing for the coming of the Era of Prodigies and Disaster.But he would have to challenge adversity if he is to bring his ambitions to fruition.So come along on his journey filled with twists and turns, enemies and thorns.As we see the knowledge of the future is used at its best.But no one, not even Ezra, could've predicted just how much Chaos this single irregularity would cause.So join us to witness Ezra, as he rises from humble beginnings, well... maybe not so humble, to becoming a peerless existence.As he rises from the ashes to become a True Sovereign!This is the rise...of the Infinite Sovereign!------------------------------------A/N: This book is written with a pace in relation to the events.It's written in a pace that neither slow enough to cause boredom nor fast enough to cause confusion.It's just right.In this novel, too much is always happening all at once. what do i mean? read to find out.And while this novel's title doesn't seem to have correlation to the story in the beginning.It was titled in regards to events in the long term.","Fantasy, Action, Adventure, Reincarnation, System, Magic, Cultivation, Apocalypse, Overpowered, Action, Adventure, ",2.0,1108
I Started To Gain Sentience In An Eroge,Parmesan,"Have you ever wondered what a character in a novel or in a game should be?Do they eat? Sleep? Do they have their own life when you are not reading or playing?They do not.When you are not doing anything, we stay still.To be fair, think about your own life. Is it different from a game without a system? You can not see behind your back, similar to how a character has to render it in a game.But at least, you have your own life.While I have to watch the protagonist of the novel find his way into the pants of the female leads.This is my destiny.I'm not jealous. Not at all.","Adult, Comedy, Drama, Ecchi, Harem, Horror, Psychological, Romance, School Life, Abusive Characters, Average-looking Protagonist, Based on a Video Game, Beautiful Female Lead, Clingy Lover, Dark, Devoted Love Interests, Gore, Yandere, ",4.7,330
Reborn as a Demonic Tree,XKARNATION,Ashlock awoke in the courtyard of a demonic sect… as a tree.A tree that eats people.And one that grows stronger over time due to a daily sign-in system and cultivation.,"Fantasy, Mature, Seinen, Slice of Life, Demonic Cultivation Technique, Fast Cultivation, Game Elements, Kingdom Building, Level System, Magic Beasts, Non-humanoid Protagonist, Overpowered Protagonist, Reincarnated as a Monster, Reincarnated as an Object, Reincarnated in a Game World, Reincarnated in Another World, Sect Development, World Tree, Antihero Protagonist, LitRPG, Sword And Magic, Male Protagonist, Non-human Protagonist, Cultivation, Evil Protagonist, Weak to Strong, ",4.6,138
SSS-Grade Cafe in Front of The Dungeon,Woohee Lee,"I was stuck in a dungeon explosion while working so hard that I actually died.But when I opened my eyes, I was back to the time of 3 years ago!Well, I will live differently in this life. Salary is goodbye to s*ave life. I quit immediately and set up a cafe in the store my grandmother left behind.There are no customers because she is right in front of a dungeon, but it doesn’t matter. All I want is to work two days and play five days. But.[Class: I woke up as the cafe owner (F)]
[Skill: I have the coffee in my hand (Lv.1)]
[Mission: Brew 100 cups of mixed coffee (0/100)]
[Item: Mixed Coffee – Increases recovery speed by 100% faster]
After leaving my life as a wage s*ave, I became a coffee s*ave.Also, the attractive regular customer who keeps bothering me is somehow unusual.It doesn’t feel good. Isn’t it like the story of the main character of the RPG, who was just trying to run an errand, and ends up fighting the devil after getting caught up in something annoying?Yes, I will not. I can not. I have no intention of playing more than the role of a novice innkeeper.”","Comedy, Fantasy, Mystery, Romance, Supernatural, Alternate World, Business Management, Contracts, Cooking, Crafting, Dungeons, Female Protagonist, Game Elements, Glasses-wearing Love Interests, Gods, Guilds, Handsome Male Lead, Heartwarming, Hiding True Abilities, Hiding True Identity, Hunters, Level System, Magical Space, Modern Day, Monsters, Pets, Second Chance, Special Abilities, Store Owner, Unreliable Narrator, Weak Protagonist, World Tree, Lazy Protagonist, ",3.4,743
Nigoru Hitomi de Nani wo Negau,Torutonen,"One day, Raizou ​​Takakura, an average salaryman, had a Heart Attack and his life ended that day.But, he got a second life, in a different world.Reincarnated with strong skills―― wasn’t what happened to him, instead, he was reincarnated as a foot soldier in a small country, Highserk Empire, which was surrounded by large countries.With a new name, Walm, he was thrown into the frontline of war.Covered in blood and the stench of death, along with his comrades, he was slipping through life-or-death situations.An adventurer party with members that could use powerful magic, transferees with overwhelming power called the “heroes”.In a deadly battle with them, Walm gradually developed his talent as a warrior which would’ve never awakened if he were to stay in times of peace.While his eyes becoming dark and muddy over time――","Action, Adventure, Drama, Fantasy, Mature, Seinen, Tragedy, Adapted to Manga, Adventurers, Appearance Changes, Aristocracy, Army, Boss-Subordinate Relationship, Calm Protagonist, Childhood Friends, Clever Protagonist, Curious Protagonist, Dark, Death of Loved Ones, Depictions of Cruelty, Dragons, Empires, Fantasy Creatures, Fantasy World, Fast Learner, Flashbacks, Friendship, Gore, Guilds, Magic, Male Protagonist, Mercenaries, Military, Multiple Transported Individuals, Near-Death Experience, Nobles, Past Plays a Big Role, Reincarnated in Another World, Reincarnation, Soldiers, Survival, Sword And Magic, Transported to Another World, War Records, Wars, Weak to Strong, Depression, Dungeons, Kingdoms, Knights, ",4.6,416
Love Letter From The Future,Alcoholism,"Ian Percus, the second son of a countryside Viscountcy.One day, he received a love letter from the future.‘If we don’t protect the future, the world will perish.’With an ominous warning scribbled by someone","Action, Adventure, Fantasy, Harem, Mystery, School Life, Supernatural, Academy, Aggressive Characters, Award-winning Work, Beautiful Female Lead, Childhood Friends, Dense Protagonist, Engagement, Fantasy World, Handsome Male Lead, Love Interest Falls in Love First, Love Rivals, Male Protagonist, Monsters, Multiple POV, Possession, Romantic Subplot, Royalty, Ruthless Protagonist, Strong Love Interests, Sword And Magic, Weak to Strong, Yandere, First-time Interc**rse, Masochistic Characters, Polygamy, Stockholm Syndrome, ",4.6,594
A Saint Who Was Adopted by the Grand Duke,Songiba,"I was forced to live in captivity for the rest of my life because I happened to be aware of the fact that I was a saint. I was truly a ‘real’ saint, but that didn’t matter, because there was already a designated saint in the temple.When I died from all the abuse I endured, I was sent back to a time before all those previous events in my life had happened. After 15 regressions, I was exhausted. I prayed, “I don’t want anything to do with this, so please just let me die,”And at that moment when I could finally be able to die, someone said, “How about being my daughter?”…. That monstrous duke had adopted me.","Drama, Fantasy, Romance, Tragedy, Adopted Protagonist, Age Progression, Betrayal, Child Abuse, Child Protagonist, Childcare, Childhood Friends, Cute Children, Death, Doting Older Siblings, Doting Parents, European Ambience, Familial Love, Fantasy World, Female Protagonist, Handsome Male Lead, Healers, Kind Love Interests, Love Interest Falls in Love First, Magic, Nobles, Overprotective Siblings, Past Trauma, Pets, Priestesses, Priests, Reincarnation, Revenge, Royalty, Saints, Sealed Power, Single Parent, Time Loop, Adapted to Manhwa, Beautiful Female Lead, Childhood Love, Complex Family Relationships, Love at First Sight, Mysterious Family Background, Weak to Strong, ",4.5,380
One Hundred Years As An Extra,Hipnose,"‘I died and became an extra in a male-dominated fantasy novel. The only problem was, I hadn’t read the novel to the end. One thing I do know is that a terrible future awaits me, and thus, I, now Dalia, have decided to live a safe and prosperous life for the rest of my time here.Since I don’t know what will happen, I will be a bystander observing the main character from the sidelines… I’ll make my own happy ending away from the main plot!’With that determination, Dalia embraces the role of an extra. And like all extras, she clings to a golden thigh: Kaichen, the powerful wizard who is unwaveringly loyal to the protagonist.For Dalia who wants to have a happy ending, it was imperative to extract herself from the novel’s plot… Yet her calm life is shaken when a flirtatious romance begins to bloom between her and her golden thigh.Will she be able to resist the temptation?","Fantasy, Mature, Romance, Smut, Beautiful Female Lead, European Ambience, Fast Learner, Female Protagonist, Handsome Male Lead, Magic, Magical Technology, Master-Disciple Relationship, Mob Protagonist, Multiple POV, Nobles, Possession, Pragmatic Protagonist, R-18, Reincarnated in Another World, Second Chance, Sickly Characters, Slow Romance, Time Loop, Transmigration, Tsundere, Villainess Noble Girls, Weak to Strong, Wizards, Clingy Lover, First Love, Kind Love Interests, Love Interest Falls in Love First, Multiple Transported Individuals, Obsessive Love, Strong Love Interests, Unrequited Love, ",4.5,781
MARVEL: GAME MAKER SYSTEM,NunuXD,"Alex was an ordinary person with the dream of one day being transmigrated to a magical world.But what he didn't expect is that he would be transmigrated to a world much more than that, a world he knew very well, but instead of being given a system that would empower him, he was given a system that allowed him to make games, and the more people played, the more powers he would get.Tony Stark: Son of a bitch, I can do in real life everything this Watch Dogs guy does, but why can't I stop playing?Hulk: HULK HATES DARK SOULS!!! HULK SMASH DARK SOUS ARRRHHHHGGG!!!Nick Fury: If any agent can't complete the Hitman game by next week, that agent will be fired from the Shield!A world of superheroes, but who controls everything is ""only"" a game developer.","Action, Adventure, Video Games, Romance, Adventure, Action, Comedy, Overpowered, Romance, R-18, Video-Game Elements, Weak to Strong, Based on a Movie, ",4.2,700
Hard Carry Support,Raporte,"SeoHyun is the number 1 ranker of the forgotten tr*sh game ‘Asra’.He’s now come to conquer Asrian, a mega-hit VRMMORP game that inherited Asra’s world setting!But what he thought was a damage dealer hidden class was in fact…[Congratulations! You’ve selected the hidden class ‘Support’!]“What…?”A support unlike any other!The tale of Hyun, the greatest support, begins now!","Action, Adventure, Fantasy, Shounen, Adapted to Manhwa, Angels, Demons, Dense Protagonist, Dungeons, Game Elements, Game Ranking System, Gamers, Guilds, Kingdoms, Level System, Magic, Male Protagonist, Misunderstandings, MMORPG, Modern Day, Multiple POV, Possession, Sharing A Body, Sword And Magic, Virtual Reality, ",4.3,1028
Mediterranean Hegemon of Ancient Greece,Chen Rui,"This is a time of great powers: The vast Persia, Sparta that was founded by force, Athens with its trade and business, Thebes the rising star, The ambitious Macedonia, The twin heroes of the Western Mediterranean, The rising Rome and so on.This is an era of brilliant stars: Agesilaus II – the last king of Sparta, Epaminondas – the Rising General of Thebes, Philip II – the founder of Macedonian’s hegemon, Dionysius – the tyrant of Syracuse, Camillus – the Roman dictator and savior…This is an era of contention among a hundred schools of thought: Plato – the great philosopher, Antisthenes – founder of cynicism, Pythagoras – school of number, Democritus – the encyclopedia scholar, Hippocrates – the father of western medicine, Aristophanes – the great dramatist…What will the hero bring to the world when he comes to this age as a humble mercenary through rebirth?","Action, Adventure, Drama, Fantasy, Harem, Historical, Mature, Romance, Ancient Times, Army, Army Building, Average-looking Protagonist, Beautiful Female Lead, Betrayal, Character Growth, Charismatic Protagonist, Confident Protagonist, Cunning Protagonist, Domestic Affairs, Generals, Hard-Working Protagonist, Harsh Training, Kingdom Building, Kingdoms, Leadership, Love at First Sight, Male Protagonist, Medical Knowledge, Mercenaries, Military, Misunderstandings, Modern Knowledge, Mysterious Past, Older Love Interests, Past Plays a Big Role, Philosophical, Politics, Polygamy, Power Couple, Pragmatic Protagonist, Pregnancy, Proactive Protagonist, Religions, Resurrection, Secrets, Servants, S*aves, Soldiers, Stoic Characters, Strategic Battles, Strategist, Survival, Teamwork, Time Skip, Transmigration, Wars, Weak to Strong, ",4.7,424
I’m Not the Final Boss’ Lover,Ken,"When our protagonist becomes the game character Jun Karentia,she thinks she has it made.She may be just a lowly support mage but with her knowledge of the game.She knows she can find her way to the good ending, following around the main character, Fabian.The problem?.. This game doesn’t end after one playthrough.Jun is prepared to guide Fabian through the second playthrough to the true ending when… Fabian abandons her.Now Grand Duke Mayer Knox—captain of the Dark Knights and the secret final boss—is determined to have her join his party.Can Jun turn the final boss into the main character?Why is Mayer Knox so intent on having her at his party?And when will these rumors about being his lover stop?!","Adventure, Comedy, Drama, Fantasy, Romance, Shoujo, Adapted to Manhwa, Adventurers, Aristocracy, Beautiful Female Lead, Betrayal, Caring Protagonist, Character Growth, Cheats, Couple Growth, Death, Demon Lord, Demons, Dense Protagonist, Determined Protagonist, Devoted Love Interests, Doting Love Interests, European Ambience, Fantasy World, Female Protagonist, Friendship, Game Elements, Handsome Male Lead, Hard-Working Protagonist, Harsh Training, Heartwarming, Kingdoms, Knights, Love Interest Falls in Love First, Magic, Misunderstandings, Mob Protagonist, Nobles, Power Couple, Pragmatic Protagonist, R-15, Religions, Royalty, Schemes And Conspiracies, Second Chance, Slow Romance, Special Abilities, Strength-based Social Hierarchy, Strong Love Interests, Sword And Magic, Sword Wielder, Time Loop, Transmigration, Transported into a Game World, Underestimated Protagonist, Wars, Wealthy Characters, ",4.0,811
How to Survive at the Academy,Korita,"I ended up transmigrating as a third-rate extra in a game I like, but worst of all this character has already fallen and been disowned.I have no ambitions. I just want to graduate, but the world won’t let me.","Action, Adventure, Drama, Fantasy, Harem, Romance, School Life, Supernatural, Academy, Alchemy, Archery, Aristocracy, Artifact Crafting, Artifacts, Beautiful Female Lead, Calm Protagonist, Caring Protagonist, Clever Protagonist, Cold Love Interests, Confident Protagonist, Crafting, Dense Protagonist, Determined Protagonist, Devoted Love Interests, Dragons, Elemental Magic, Empires, Enemies Become Allies, Family Conflict, Fantasy World, Fearless Protagonist, Game Elements, Game Ranking System, Handsome Male Lead, Hard-Working Protagonist, Hated Protagonist, Hiding True Identity, Kind Love Interests, Knights, Kuudere, Loli, Love Interest Falls in Love First, Love Rivals, Magic, Maids, Male Protagonist, Misunderstandings, Mob Protagonist, Multiple POV, Mysterious Past, Popular Love Interests, Slow Romance, Special Abilities, Spirit Users, Spirits, Strong Love Interests, Survival, Sword And Magic, Time Loop, Transmigration, Transported into a Game World, Transported to Another World, Unconditional Love, Underestimated Protagonist, Weak to Strong, Wealthy Characters, Adapted to Manhwa, Polygamy, ",4.1,153
HP: The Arcane Thief,Snollygoster,"A skilled thief gets a system in an Alternate Wizarding World. The system seems useless in the beginning since he hasn’t unlocked any features. But…[The very first feature of the System has been unlocked.][Congratulations. You’ve unlocked the class feature. Due to your existing skills and experience, you have gained the Special Class ""Arcane Thief"" as your starting class. There’s nothing an Arcane Thief can’t steal. The more you steal, the more your Class will progress.][The fields of expertise include:— Stealth Magic— Wards— Traps— Enchantment— Pickpocketing— Knife/Short-Sword Wielding]Wait…this is just the first feature?","Adventure, Fantasy, Mature, Romance, Supernatural, Action, Accelerated Growth, Adventurers, Anti-social Protagonist, Calm Protagonist, Character Growth, Charismatic Protagonist, Cold Protagonist, Fast Learner, Friendship, Game Ranking System, Handsome Male Lead, Hard-Working Protagonist, Harsh Training, Orphans, Parallel Worlds, Romantic Subplot, Sadistic Characters, Slow Romance, Special Abilities, Weak to Strong, Fanfiction, LitRPG, ",4.5,686
God Level Demon,Lamu,"“Shameless Xia Ping, not only did you steal my martial arts manual and medicinal pills, you even took my fiancée! We’re not finished!”“He’s the embarrassment of the Martial Way and a parasite of the human race. A complete scumbag.”“There’s nothing that he won’t do. Not only would he not help an old person cross the road, he would even steal the lollipop of a three year old.”“He causes problems everywhere. All of the geniuses of those big families have been beaten up by him before. Now, he’s no longer tolerated by either humans or gods!”Countless martial arts experts of Yanhuang Star hated Xia Ping down to the very bone. They were just itching to completely crush him into pieces.As for Xia Ping? Facing the hatred of so many people, he just calmly pulled up the interface of the “Grand Hatred System” and looked at all the wonderful things there. He rubbed his chin, “I’ve already saved up so many Hatred Points. What should I exchange for now? Saint-grade medicinal pills? Or perhaps that Primordial Pill? The peerless martial art skill, Tathagata Palm also seems pretty good too. But then there’s that divine weapon, the Cosmic Cauldron. It really is too difficult to choose!”","Action, Adventure, Comedy, Harem, School Life, Xuanhuan, Alchemy, Angels, Arrogant Characters, Artificial Intelligence, Beautiful Female Lead, Bloodlines, Cheats, Clever Protagonist, College/University, Confident Protagonist, Cultivation, Cunning Protagonist, Demons, Dragons, Fast Cultivation, Futuristic Setting, Gods, Handsome Male Lead, Hated Protagonist, Heavenly Tribulation, Lack of Common Sense, Late Romance, Lucky Protagonist, Magic Beasts, Magical Space, Male Protagonist, Misunderstandings, Multiple Identities, Multiple Realms, Older Love Interests, Outer Space, Overpowered Protagonist, Parody, Polygamy, Poor to Rich, Pregnancy, Proactive Protagonist, Romantic Subplot, Ruthless Protagonist, Saints, Schemes And Conspiracies, S*xual Cultivation Technique, Shameless Protagonist, Special Abilities, Strong Love Interests, Student-Teacher Relationship, System Administrator, Transmigration, Transported to Another World, Weak to Strong, World Tree, ",3.7,1206
Konoha Hypocrite,Resentment,"Crossing to the Naruto World, Uchiha Tonan obtained the ‘Legacy Inheritance System’. As long as the people who acknowledged him died, he could inherit all abilities of the deceased.Therefore…“Konoha’s higher-ups mistreated the Uchihas. So, I’ve decided to lead the clan to launch a coup d’état after three years.”“Ding! Gained Uchiha clan’s acknowledgment.”Two years later.“Tonan, this is the evidence of the Uchiha clan’s betrayal. When all is said and done, it’s your clan. So, I want to hear your opinion.”“I’ll always stand on the village’s side.”On that fateful night, Tonan stood on the Hokage Rock, coldly watching the Uchihas’ annihilation.He spread his hands, being grateful to his clansmen’s gifts.The next day.“Lord Hokage, I shed blood for Konoha and became the village’s sword. And this was how you treated the meritorious clan.”“Tonan, didn’t you agree to it!?”“I don’t know what you are talking about. The fury of clan extermination is irreconcilable. Today, I will destroy the Sarutobi and Shimura clans to appease my clan members’ souls in heaven.”A high-leveled hunter often puts on a disguise to lower the prey’s guard.","Action, Adventure, Fantasy, Martial Arts, Mature, Psychological, Ability Steal, Acting, Betrayal, Bloodlines, Buddhism, Cheats, Cold Protagonist, Conditional Power, Cruel Characters, Cunning Protagonist, Depictions of Cruelty, Dishonest Protagonist, Evil Protagonist, Eye Powers, Fanfiction, Genius Protagonist, Gods, Handsome Male Lead, Hypnotism, Male Protagonist, Manipulative Characters, Mature Protagonist, Ninjas, Overpowered Protagonist, Power Struggle, Reincarnation, Ruthless Protagonist, Samurai, System Administrator, Transmigration, Weak to Strong, ",3.5,1051
Mage Adam,Tears of Beer,"Living things really are ignorant – the greed to obtain the key to knowledge and the fundamentals of energy overpowers them. Little do they know that knowledge is full of lies and energy is the root of destruction. Us, mages, have mastered travelling through space and time. We are invincible, we can turn worlds into dust and you, mere ants, will be wiped out with no trace.-Mage AdamAn A.I.(Artificial Intelligence) gets reincarnated into a world where he becomes a mage.","Action, Adventure, Fantasy, Xuanhuan, Academy, Aliens, Antihero Protagonist, Apathetic Protagonist, Aristocracy, Artificial Intelligence, Cautious Protagonist, Cold Protagonist, Cruel Characters, Determined Protagonist, Elemental Magic, Fast Learner, Gate to Another World, Magic, Magic Beasts, Magical Space, Male Protagonist, Modern Knowledge, Monsters, Nobles, Pets, Poor to Rich, Ruthless Protagonist, Schemes And Conspiracies, Scientists, Special Abilities, Time Skip, Wars, Weak to Strong, Wizards, World Hopping, World Travel, ",4.0,511
"Forget My Husband, I’ll Go Make Money",JU Hyeon,"I became the wife of a man with a lover. Well then, I guess I have to protect his chastity?“You can sleep on the floor then.”“What?” His eyes said he didn’t want to.Well, yeah. The floor was hard. Then it couldn’t be helped.“I’ll just hold your hand and sleep. You trust me, right?”But, how come the bed broke on my first night with my husband?*Aristine, a princess confined out of the Emperor’s sight.When in reality, she was the owner of the [Monarch’s Sight], able to see the future, past, and present.She, who became the sacrifice for a political marriage, was married off to a terrifying barbarian…“The most precious things should naturally be given to my bride.”But her husband, whose monstrosity she prepared for, was way too normal.However, he belonged to someone else.‘I’ll go make money then.’She might as well make the goldfields her own.*Can Aristine really achieve her dream of living freely on a pile of money?Or will she end up killing two birds with one stone?","Comedy, Fantasy, Romance, Slice of Life, Adapted to Manhwa, Arranged Marriage, Arrogant Characters, Beautiful Female Lead, Business Management, Calm Protagonist, Childhood Love, Clever Protagonist, European Ambience, Female Protagonist, First Love, Handsome Male Lead, Love Interest Falls in Love First, Misunderstandings, Nobles, Royalty, Slow Romance, Strong Love Interests, Survival, Blacksmith, Bloodlines, Child Abuse, Confident Protagonist, Determined Protagonist, Devoted Love Interests, Doctors, Famous Protagonist, Fantasy Creatures, Fantasy World, Flashbacks, Generals, Hiding True Abilities, Kingdoms, Knights, Living Abroad, Loyal Subordinates, Modern Knowledge, Multiple POV, Power Couple, Power Struggle, Precognition, Pregnancy, Schemes And Conspiracies, Special Abilities, ",4.5,791
Genius Warlock,Yellow Coffee,"The tale of Oliver.An orphan boy from a Mine, in 19th century Europe, filled with Magic.","Action, Adventure, Fantasy, Alternate World, Apathetic Protagonist, Character Growth, Curious Protagonist, Demons, Dense Protagonist, European Ambience, Evil Organizations, Genius Protagonist, Human Experimentation, Magic, Male Protagonist, Mercenaries, Multiple Identities, Organized Crime, Orphans, Overpowered Protagonist, Poor Protagonist, Pragmatic Protagonist, Religions, Secret Organizations, Underestimated Protagonist, Weak to Strong, Wizards, World Tree, Abandoned Children, Ability Steal, Absent Parents, Academy, Alchemy, Angels, Animal Characteristics, Anti-social Protagonist, Aristocracy, Arms Dealers, Artifacts, Artificial Intelligence, Artists, Assassins, Awkward Protagonist, Battle Academy, Betrayal, Blood Manipulation, Bodyguards, Businessmen, Cannibalism, Cold Protagonist, Contracts, Corruption, Crafting, Cruel Characters, Curses, Dark, Demon Lord, Depictions of Cruelty, Dolls/Puppets, Dreams, Druids, Economics, Elemental Magic, Enemies Become Allies, Evil Gods, Evil Religions, Evolution, Exorcism, Eye Powers, Familiars, Famous Protagonist, Fast Learner, Firearms, Folklore, Genetic Modifications, Golems, Gunfighters, Hackers, Handsome Male Lead, Hard-Working Protagonist, Healers, Heaven, Hell, Heroes, Hidden Abilities, Hiding True Abilities, Hiding True Identity, Homunculus, Human Weapon, Hunters, Inscriptions, Legends, Library, Living Alone, Low-key Protagonist, Loyal Subordinates, Magic Beasts, Magic Formations, Magical Space, Magical Technology, Mind Control, Murders, Mutated Creatures, Mutations, Mystery Solving, Mythology, Naive Protagonist, Near-Death Experience, Necromancer, Parasites, Police, Politics, Poor to Rich, Power Struggle, Prophecies, Psychic Powers, Puppeteers, Quiet Characters, Quirky Characters, Racism, Rebellion, Ruthless Protagonist, Sadistic Characters, Saints, Sealed Power, Secrets, Selfish Protagonist, Seven Deadly Sins, Seven Virtues, Shapeshifters, Skill Assimilation, Social Outcasts, Soldiers, Soul Power, Souls, Special Abilities, Spirit Users, Summoning Magic, Sword And Magic, Teachers, Terrorists, Transformation Ability, Twisted Personality, Unique Weapon User, Unique Weapons, Vampires, Wars, Zombies, ",4.9,255
Demon Immortal,kirupakaran,"Warning: This work contains elements of mature content featuring sex, violence, and gore.Follow the journey of a wandering drunk swordsman who will punch immortals, kick demons, and cut down gods as he ascends the heavens in search of better women and wine.... hic...Women, Wine, and WagerThe three most terrible vices a man could possess. Luckily, Duncan was only afflicted with two - women & wine. As an ordinary spirit stone miner, Duncan only cared about earning money to indulge in his two vices.However, Duncan's fate had a twist in the form of a cantankerous old man who wanted to both reward and punish him in good measure. It leaves Duncan with a rather poor opinion of cultivators in general.Pulled into the world of cultivation unwittingly, Duncan only cares for three things. His sword, his wine, and his women.","Eastern Fantasy, Fantasy, Action, Xianxia, Cultivation, Dark, Action, Xianxia, R-18, Weak to Strong, Antihero Protagonist, ",4.0,933
Invincible Mumu,Hanjung Moonnight,"The Blood Warrior of the Ungpae Association, who created a sea of blood wherever he went, made the world of the Forces of Evil possible.The Nine Great Sects and the Six Great Clans joined forces to fight him, but were unable to stop him.Four Great Warriors, who were Murim’s last hope, appeared.The four of them fought against the Blood Warrior and eventually defeated him at Mount Song.The time has come for the legacy of the Blood Warrior to rise once again.","Action, Adventure, Fantasy, Historical, Martial Arts, Mature, Wuxia, Abandoned Children, Academy, Comedic Undertone, Male Protagonist, Naive Protagonist, Overpowered Protagonist, ",4.7,710
Debut or Die,Deoksu Baek,"A student who was preparing the Civil Service examination for 4th year, suddenly he found himself in an unfamiliar body 3 years ago.As well as a status window displaying a threat in front of his eyes![Outbreak!]
[Status Abnormality: ‘Debut or Death’ Occurs!]
A diary about the transformation of the main character, who was suddenly challenged to be an idol even though he has never been in the industry before due to sudden threat of death.※Speciality: He used to take and sell idol’s data.","Comedy, Drama, Slice of Life, Supernatural, Absent Parents, Adapted to Manhwa, Alternate World, Brotherhood, Bullying, Calm Protagonist, Caring Protagonist, Celebrities, Character Growth, Clever Protagonist, Cute Protagonist, Depression, Enemies Become Allies, Friendship, Game Elements, Identity Crisis, Level System, Male Protagonist, Modern Day, Multiple Reincarnated Individuals, Music, Past Trauma, Showbiz, Shy Characters, Singers, Suicides, Survival Game, System Administrator, Teamwork, Time Paradox, Time Travel, Transmigration, Unreliable Narrator, Dancers, Orphans, ",4.6,256
Everlasting Immortal Firmament,Watching Chess,"The world is like a chessboard.“I do not want to be treated as a chess piece by the players!”Defeat in this chess is tantamount to the destruction of my body and I’ll thoroughly disappear! Victory in this chess and I’ll have a very long life!With the help of an ancient Weiqi piece, Gu Hai arrived at the Divine Province Mainland!Heavenly Dao is eternal, however life is limited, making heaven and earth pieces of a chessboard, then in the end transformed into a loess, vanishing like faded smoke and scattered clouds. Nevertheless people still jump out of the chessboard, and these people are already prepared for their death while playing chess against the heavens, and perhaps win eternal life for themselves?“I’ve come, and I want to live through 10,000 lives without any boundaries!”","Action, Drama, Harem, Mature, Tragedy, Xianxia, Adapted to Anime, Adopted Children, Age Regression, Ancient China, Ancient Times, Angels, Army Building, Artifacts, Beast Companions, Beasts, Body Tempering, Buddhism, Cautious Protagonist, Confident Protagonist, Cultivation, Cunning Protagonist, Death of Loved Ones, Enemies Become Allies, Enemies Become Lovers, Imperial Harem, Kingdom Building, Kingdoms, Leadership, Male Protagonist, Management, Manipulative Characters, Mature Protagonist, Military, Nobles, Politics, Polygamy, Resurrection, Revenge, Romantic Subplot, Royalty, Ruthless Protagonist, Schemes And Conspiracies, S*xual Cultivation Technique, Strategist, Transported to Another World, Wars, Weak to Strong, Wealthy Characters, ",3.7,870
