Title,Author,Summary,Categories,Tags,Rating,Rank,Chapters
The Primordial Record,BRICKTRADER,"Rowan kuranes awoke in a new world inside the body of a dying prince. His new body contain terrifying secrets that he has to protect, for inside him lies the key to Eternity.Rowan must learn to harness his new abilities and fight against his enemies who would stop at nothing to deprive him of his powers.Yet he must strive to keep a portion of his humanity alive, as he continously evolve beyond godhood.A/N: There are horror element, including Eldritch Horror from Lovecraft. Fan of blood borne, and abominable horrors that goes bump in the night would love it.Epic action set pieces, and galaxy wide battles, with an extremely overpowered MC who is a one man army.","Action, Adventure, Fantasy, Mystery, Horror, Supernatural","Antihero Protagonist, Transmigration, System, Evolution, Kingdom Building, Overpowered Protagonist, Sword And Magic, Male Protagonist, Special Abilities, Weak to Strong, Dark, ",4.4,77,1300
Civil Servant in Romance Fantasy,borjigin,"I was reincarnated into the world of a novel I’d only read the free chapters.Thankfully, the blood flowing in the body of the person I’d possessed was blue.“The prominence of our family comes from the blessing bestowed upon us by the royal family throughout the generations.”Maybe this is the price to pay for that. But I got a father who seems overly loyal to the Emperor. And because of that, I was forced to become a Civil Servant.While everyone else enjoys romance, I’m just spending my days as a Civil Servant.","Comedy, Fantasy, Harem, Romance, School Life, Slice of Life, Tragedy","Academy, Boss-Subordinate Relationship, Death of Loved Ones, Dense Protagonist, Elves, Famous Protagonist, Fantasy World, Handsome Male Lead, Male Protagonist, Misunderstandings, Mysterious Past, Nobles, Older Love Interests, Past Plays a Big Role, Past Trauma, Politics, Polygamy, Protagonist Strong from the Start, Royalty, Ruthless Protagonist, Tragic Past, Transmigration, Transported to Another World, Unreliable Narrator, Wars, Younger Love Interests, Beautiful Female Lead, Multiple POV, Yandere, ",4.7,220,299
From Thug to Idol: Transmigrating to a Survival Show,SandKastle,"In a twist of fate, Jun Hao, a ruthless street thug known for his brute strength and sharp instincts, dies at the hand of the boss he served like a slave.When he thought he would die, he saw a screen flash before his eyes—it was a system and a status window![System integrating: Become A Top Idol]Jun Hao finds himself abruptly transported into the body of Choi Joon-ho, a timid trainee hoping to make it big in the cutthroat world of idols through ""Rising Stars,"" a highly popular idol survival show. In a world unfamiliar to him, where singing, dancing, and charisma reign supreme, Jun Hao must navigate the treacherous waters of an idol survival show or risk losing the life of his beloved younger sister.","Fantasy, Comedy","System, Reincarnation, Transmigration, Overpowered, Comedy, Level System, Genius Protagonist, ",4.2,141,1046
The Knight King Who Returned With a God,Save People,"Returning to Earth as the invincible Knight King, I bring with me the divine power of the Gods. Their presence on Earth upends the balance of power, introducing supernatural challenges and conflicts. As I navigate this transformed world, I must harness my newfound strength and divine allies to face both mortal and divine adversaries, striving to protect humanity from the chaos that follows.","Action, Adventure, Fantasy","Adapted to Manhwa, Demi-Humans, Demons, Evil Gods, Game Ranking System, Gate to Another World, God-human Relationship, God Protagonist, Goddesses, Godly Powers, Gods, Guilds, Handsome Male Lead, Hard-Working Protagonist, Hunters, Knights, Male Protagonist, Orcs, Protagonist Strong from the Start, Racism, Reincarnated in Another World, Reincarnation, Religions, Returning from Another World, Righteous Protagonist, Ruthless Protagonist, Strong to Stronger, Nobles, Polygamy, Romantic Subplot, Royalty, Younger Love Interests, ",4.6,437,204
Re: Apocalypse Game,Avan,"Alan, a young science teacher, finds himself and millions of other, forced by alien invaders to participate in absurd VR ""Apocalypse Games.""Desperate to save his sick daughter, he took the path of gun and sword, embarking on a journey to become one of the top players in this deadly virtual world.All were forced to survive a series of different apocalypse scenarios: Ice age, Nuclear Fallout, AI Meltdown, Apex predators, etc. all for one promise:[Defeat all rounds and we will leave your world in peace]Every year, with less than 10% managed to survive, the whole world would watch the games in terror as their loved ones suffered and died.After seven grueling years, Alan and his team become the last hope for humanity. But even their valiant efforts end in defeat. Alan loses everything—his comrades, his daughter, and the hope of mankind.Given a second chance, equip with the knowledge of the game's secrets and the future, will this simple science teacher succeed in saving the world?----------------Author Notes:This is my fifth Novel, i believe this one will show all my experience after writing 2000+ chapters and being Top 20 Webnovel Authors for 3 years.Its VR + Squid games + Apocalypse moviesIf you like any of those you will like this one","Video Games, Action, Martial Arts, Slice of Life, Mecha","Apocalypse, System, Action, Reincarnation, Godly Powers, Survival, Level System, Video-Game Elements, Magic, Technological Gap, Smart mc, Mechs, Vampires, Zombies, Bloodlines, Aliens, Wars, Romance, ",4.0,783,225
The Academy’s Weakest Became A Demon-Limited Hunter,Chicken Boy,"Transmigrated into my favorite game’s Hell Mode, I find myself possessing the weakest character. Survival is my top priority, but the way the main character is controlled is disastrous. Determined to prevent the bad ending, I must use my knowledge of the game to navigate treacherous challenges and face demonic foes. It’s up to me to rewrite the story and turn weakness into strength.","Action, Adventure, Fantasy, Harem, Romance, School Life","Academy, Aristocracy, Beautiful Female Lead, Character Growth, Conditional Power, Demons, Elemental Magic, European Ambience, Game Elements, Handsome Male Lead, Hard-Working Protagonist, Hiding True Abilities, Hunters, Level System, Magic, Magic Beasts, Male Protagonist, Misunderstandings, Multiple POV, Obsessive Love, Overpowered Protagonist, Polygamy, Spirit Users, Spirits, Transmigration, Transported into a Game World, Weak to Strong, Wizards, Yandere, Hiding True Identity, ",4.6,105,315
Reincarnated As A Plant Life,Kurai_Takahashi,"Lucius Mc. Conol, once the leader of a ghost division, is captured and killed on a mission. However, not all is lost as he finds himself reincarnated in another world... as a leafling?Join Lucius as he teaches lower leveled plant life human tactics, bringing to them new concepts and powers.*Ding*[You've leveled up]This is a kingdom-building, evolution story which sees Lucius encounter beings from different species, spreading his influence and 'mystical' powers.***This novel is more a cultivation novel than it is a system novel. The system just adds extra aspects to the cultivation trope, however, this is a cultivation novel at its core.","Action, Adventure, Fantasy","Reincarnation, System, Kingdom Building, Transmigration, Cultivation, Weak to Strong, Magic, Evolution, Male Protagonist, Level System, Non-human Protagonist, ",3.7,857,282
Getting a Technology System in Modern Day,Agent_047,"For others it takes dying and reincarnating for them to get a system but what happens when you get one without dying?Aron Michael is an average student set to graduate within a week, but he was expelled for a random reason. Due to that, he had heavy student debt and no diploma to help him earn the money to pay it back. But one day he got a system that called itself the [Advanced Tech System].Follow the story to watch him develop from your average Joe to him being the owner of the largest company in the world.","Action, Slice of Life, Romance, Sci-fi, Wuxia","System, Technological Gap, R-18, Magic, Business Management, Modern Day, Male Protagonist, Poor to Rich, Romance, Kingdom Building, Action, ",4.2,114,831
I Became The Academy’s Blind Swordsman,Pibusa,"Equipped with a legendary blindfold that defies logic, I possess extraordinary abilities. The blindfold boosts experience gain by 500%, grants MAX-level Weakness Detection, and increases critical hit damage by 300%. Despite its appearance, it does not obstruct my vision—in fact, I see everything with perfect clarity. As I navigate the academy, I must harness these powers to uncover hidden secrets and rise as an unrivaled swordsman.","Action, Adventure, Fantasy, Harem, Romance, School Life","Academy, Anti-Magic, Beautiful Female Lead, Calm Protagonist, Charismatic Protagonist, Cold Love Interests, Game Elements, Handsome Male Lead, Level System, Male Protagonist, Misunderstandings, Multiple POV, Obsessive Love, Polygamy, Possessive Characters, Sword And Magic, Sword Wielder, Transmigration, Transported into a Game World, Yandere, Aggressive Characters, Dense Protagonist, Devoted Love Interests, Love Interest Falls in Love First, Master-Disciple Relationship, Time Loop, Voyeurism, Weak to Strong, ",3.8,344,238
Sins Paradise: Domination System,MarudameOssan,"Horizon Online. It was a death Virtual Reality MMORPG game where people had classes, hunted monsters, got riches, and fought similar players.I, the strongest player in Horizon Online, managed to kill the last boss and expected to return to my home.But after defeating the last boss, I was given a bonus stage, where I could choose one game of my choice. Without much thought, I chose an Eroge called ‘Sins Paradise’.I arrived in Sins Paradise world as the minor villain with the same name as my character. But that didn't matter to me.[Domination System! Dominate girls after completing the requirements!][Ding! You spanked Eliza Rose’s butt in public! Your Sins increased by 1!]Making use of my overpowered strength and Domination System, plus my handsome features, I would conquer the best girls in the Sins Paradise.My after journey to become the King of the world has begun!*There will be no NTR.","Fantasy, Slice of Life, Harem, Comedy","Harem, System, Magic, Action, Overpowered, Comedy, Transmigration, R-18, Antihero Protagonist, ",3.5,465,493
Creating an Industrial Empire in 19th Century Parallel World,SorryImJustDiamond,"In a tragic accident, mechanical engineer Poul Nielsen and his best friend, civil engineer Jonathan Axelsen, are killed when a truck crashes into the coffee shop where they were hanging out. Suddenly, they find themselves transmigrated to a parallel world in the late 19th-century country of Avalonia. In this world, they'll need to work tirelessly to earn enough pennies to survive. But they won't settle for just getting by - they want to become the Edison, the Chrysler, the Rockefeller, the Carnegie, the Ford, and the Westinghouse of this new world.In a world without electricity, Poul and Jonathan decide to start an electric power distribution company. But that's not enough - they also want to build appliances and motors to make their business profitable. They see the opportunity to revolutionize ground transportation, and they start an automotive manufacturing company. They tackle huge infrastructure projects such as metro stations, skyscrapers, bridges, tunnels, and dams by starting their own civil engineering firm. They even invest in the arms manufacturing industry.But the road to success won't be easy. Fierce competition awaits them, as robber barons are willing to do everything to crush their competitors. Predator against predator, and government intervention. Poul and Jonathan must use all their engineering expertise and business acumen to navigate this treacherous landscape.Join Poul and Jonathan on their journey to become the wealthiest men in the world in a parallel universe where anything is possible.","Historical, Action, Adventure, Slice of Life","Genius Protagonist, Transmigration, Hard-Working Protagonist, Male Protagonist, Weak to Strong, Modern Day, Economics, Business Management, Poor to Rich, Modern Knowledge, Alternate World, ",3.2,937,314
Supreme Lord: I can extract everything!,HideousGrain,"In a world where the interstellar era has brought both promise and disappointment, Michael Fang dreams of becoming a Lord in the mysterious realm.He longs to explore ancient ruins of fallen civilizations and build a territory loved and supported by his subjects.But his aspirations are shattered when he realizes that he is nothing special and just an ordinary boy in a world full of heavenly prodigies.That is until he stumbles upon the Gate leading to the Origin Expanse, a mysterious realm that promises to change everything he thought he knew about himself and his destiny.With newfound power and unwavering determination, Michael vows to turn his misfortune into opportunity, no matter how perilous the path is.""Watch, and witness as I extract everything!""Follow Michael Fang on his journey through the Origin Expanse as he battles through obstacles and enemies to achieve his dreams and become the Supreme Lord he was always meant to be.","Fantasy, Action, Mystery, Adventure, Tragedy, Sci-fi, Slice of Life","No Harem, Kingdom Building, Weak to Strong, Adventure, Action, Mystery, Space, Futuristic Setting, Special Abilities, ",3.9,124,1102
Solo Farming In The Tower,Lee Hae-kyung,"One day, a mysterious tower suddenly appeared in the city. The people decided to call it a dungeon, and while it was full of rugged terrain and dangerous monsters, it was also a land of opportunity, where countless treasures awaited. When Sejun, a young man living an ordinary life, is invited to the dungeon by chance, he is thrilled at the prospect of becoming rich, but he is stranded in a hidden area of the mysterious tower. All he has is a few seeds and his body. Now Sejun must farm, collect resources, and figure out his own survival strategy!","Action, Adventure, Fantasy, Slice of Life, Supernatural","Adapted to Manhwa, Beast Companions, Dragons, Dungeons, Fantasy Creatures, Farming, Game Elements, Guilds, Hunters, Level System, Magic, Magical Technology, Male Protagonist, Modern Day, Monsters, Poor Protagonist, Poor to Rich, Special Abilities, Weak Protagonist, Artifacts, Calm Protagonist, Character Growth, Comedic Undertone, Contracts, Cooking, Goddesses, Gods, Human-Nonhuman Relationship, Love Interest Falls in Love First, Lucky Protagonist, Manipulative Characters, Merchants, Misunderstandings, Money Grubber, Orcs, Pragmatic Protagonist, Romantic Subplot, Shameless Protagonist, S*aves, Slow Romance, System Administrator, Tsundere, Weak to Strong, Wealthy Characters, World Tree, ",4.5,42,593
"Dungeon Battle Royale ~ Since I became a Demon King, I will aim for World Domination",Gachasora,"One day every human on the world suddenly receives a mail claiming to enact the World Salvation Project. Half in doubt Kurosaki Shion, a diligent university student and loner, follows the mail’s instructions, becoming one of a million Demon Kings governing his very own Domain in the new world.*** This is a post-apocalyptic story containing many fantasy elements. It is a somewhat dark tale following Shion as he grows while aiming for the unification of the all too sudden new world. It has many game-elements bolstered by strategical thinking while at the same time providing funny moments and romantic encounters.","Action, Adventure, Comedy, Fantasy, Harem, Martial Arts, Seinen, Slice of Life","Adapted to Manga, Adventurers, Amnesia, Antihero Protagonist, Black Belly, Boss-Subordinate Relationship, Calm Protagonist, Cautious Protagonist, Clever Protagonist, Conditional Power, Contracts, Cunning Protagonist, Demon Lord, Demons, Dragons, Dungeon Master, Dungeons, Dwarfs, Elves, Enemies Become Allies, Evil Protagonist, Evolution, Fairies, Fantasy Creatures, Game Elements, Game Ranking System, Generals, Goblins, Handsome Male Lead, Humanoid Protagonist, Introverted Protagonist, Kingdom Building, Level System, Loner Protagonist, Loyal Subordinates, Magic, Magic Beasts, Male Protagonist, Management, Manipulative Characters, Modern Day, Modern Knowledge, Monsters, Multiple POV, R-15, Race Change, Romantic Subplot, Ruthless Protagonist, Schemes And Conspiracies, Shameless Protagonist, Spear Wielder, Strategic Battles, Strong to Stronger, Survival, Survival Game, Sword And Magic, System Administrator, Time Skip, Transplanted Memories, Transported Modern Structure, Vampires, Wars, Weak to Strong, Werebeasts, ",3.2,1021,305
Adopting Disaster,Bonsai Tree,"Jinhyuk is a person who likes to immerse himself in the role of the Villains but there is one villain which he particularly hates,Reed Adeleheights Roton, the false final boss of the game.The one who created the Seven Disasters.The one who due to his inferiority complex led to his own doom.The one who turned a cute innocent girl into the monstrous First Disaster codenamed Cosmo.“If I was the Villain then I would have raised her a little better.”And thus God granted his wish and now he was the false final Villain Reed Adeleheights Roton, the creator of the Seven Disasters.How different would the world turn out to be now?","Action, Adventure, Comedy, Drama, Fantasy, Martial Arts, Mystery, Supernatural, Tragedy","Adopted Children, Childcare, Cute Children, Determined Protagonist, Jack of All Trades, Loyal Subordinates, Magic, Male Protagonist, Protagonist Strong from the Start, Reincarnated in a Game World, Reincarnated in Another World, Romantic Subplot, Strong to Stronger, Time Travel, Polygamy, ",4.4,474,339
I Became A Third-Rate Villain In The Hero Academy,Peter Parker,"Transmigrated into my favorite game, I find myself in the shoes of a third-rate villain doomed to die in every possible route. Determined to change my fate, I must navigate the treacherous world of the Hero Academy, outsmarting powerful heroes and avoiding the deadly outcomes. With cunning and perseverance, I strive to carve a new path and ensure my survival against all odds.","Action, Adventure, Fantasy, Harem, Romance, School Life","Academy, Anti-Magic, Aristocracy, Beautiful Female Lead, Dense Protagonist, Elves, Engagement, Fantasy World, Game Elements, Handsome Male Lead, Love Interest Falls in Love First, Magic, Male Protagonist, Misunderstandings, Orcs, Possessive Characters, Slow Growth at Start, Transmigration, Transported into a Game World, Weak Protagonist, Yandere, Calm Protagonist, Clingy Lover, Cold Love Interests, Curses, Genius Protagonist, Hard-Working Protagonist, Knights, Obsessive Love, Priests, Saints, Selfless Protagonist, Special Abilities, Strong Love Interests, Sword And Magic, Sword Wielder, Teachers, Weak to Strong, ",3.7,479,325
A Black Market LitRPG,M.G Driver,"Kyle finds himself transported to a land of fantasy and magitech with a typical ""I died and woke up"" scenario—except there's a twist. Once a formidable crime lord, Kyle realizes this new society is lacking the underworld edge he once mastered. Leveraging his criminal expertise, he navigates this strange world, blending his ruthless tactics with the magical and technological advancements around him. As he builds his empire in the shadows, Kyle must confront new challenges and rivals, all while bringing a much-needed spark to this fantastical realm.","Fantasy, Action, Adventure, Sci-fi","Aristocracy, Arms Dealers, Business Management, Charismatic Protagonist, Cold Protagonist, Crafting, Crime, Criminals, Drugs, Evil Protagonist, Gangs, Industrialization, Level System, Magical Technology, Organized Crime, Politics, Selfish Protagonist, Slaves, LitRPG, Portal Fantasy, Isekai, Urban, Age Progression, Dystopia, Game Elements, Magic, Male Protagonist, Reincarnation, Ruling Class, Soft Sci-fi, Space, Steampunk, Strategist, Overpowered Protagonist, Wars, Military, Weak to Strong, Genetic Modifications, ",4.6,914,179
I Became the Hero Who Banished the Protagonist,Kim Seon-injang,"In an unexpected twist, I transmigrate into a game world just moments after banishing the protagonist. Regretting my hasty actions, I realize the critical mistake I've made. Now, I must navigate the consequences of my decision, facing challenges and unexpected alliances while trying to find a way to correct the course of this world. If only I had arrived a bit earlier, things might have been different.","Action, Adventure, Fantasy, Harem, Romance","Beautiful Female Lead, Calm Protagonist, Caring Protagonist, Character Growth, Charming Protagonist, Death, European Ambience, Evil Gods, Fantasy World, Friendship, Handsome Male Lead, Hard-Working Protagonist, Hated Protagonist, Heroes, Loyal Subordinates, Male Protagonist, Misunderstandings, Mysterious Past, Proactive Protagonist, Prophecies, Protagonist Strong from the Start, Romantic Subplot, Saints, Saving the World, Selfless Protagonist, Slow Romance, Strong Love Interests, Strong to Stronger, Sword And Magic, Transmigration, Transported to Another World, Underestimated Protagonist, Unique Weapons, Wars, Righteous Protagonist, Sword Wielder, ",4.5,360,180
"Abandoned by my Childhood Friend, I Became a War Hero",Charuka,"After experiencing the heartbreak of being abandoned by his childhood friend, he sought solace and purpose by enlisting in the military. Through sheer determination and resilience, he rose through the ranks, facing numerous battles and challenges. His journey from heartache to heroism is marked by courage and strength, ultimately transforming him into a celebrated war hero.","Action, Adventure, Drama, Fantasy, Harem, Romance, School Life","Academy, Apathetic Protagonist, Aristocracy, Beastkin, Betrayal, Comedic Undertone, Demon Lord, Demons, Depression, Discrimination, Dragons, Dwarfs, Elves, Empires, Famous Protagonist, Handsome Male Lead, Heroes, Hiding True Identity, Kingdoms, Magic, Male Protagonist, Military, Nobles, Overpowered Protagonist, Past Plays a Big Role, Past Trauma, Protagonist Strong from the Start, Racism, Saints, Schemes And Conspiracies, Slow Romance, Spear Wielder, Stubborn Protagonist, Student-Teacher Relationship, Teachers, Tragic Past, Unreliable Narrator, Unrequited Love, Younger Love Interests, Childhood Promise, Conflicting Loyalties, Elemental Magic, Misunderstandings, ",4.5,368,131
Village Head's Debauchery,Royalpanda,"When Orion is mysteriously transmigrated into a primitive world where sex and other goods and services can be bartered for, he is determined to make the most of his second chance at life.But as he delves deeper into this dangerous world filled with temptation and magic, Orion must use his wit, charm, and thirst for adventure to survive and make the most of his second chance at life.","Fantasy, Harem, Slice of Life, Adventure, Romance","R-18, Harem, Magic, Romance, Adventure, Transmigration, Kingdom Building, ",4.1,101,1220
Omniscient First-Person’s Viewpoint,gosogdolu,"I, a mere con artist, was unjustly imprisoned in Tantalus, the Abyssal Prison meant for the most nefarious of criminals, where I met a regressor.But when I used my ability to read her mind, I found out that I was fated to die in a year…and that the world would end 10 years later.","Action, Adventure, Comedy, Fantasy, Harem, Mystery, Supernatural","Alchemy, Animal Characteristics, Antihero Protagonist, Apathetic Protagonist, Arrogant Characters, Award-winning Work, Beastkin, Beasts, Beautiful Female Lead, Black Belly, Blood Manipulation, Cautious Protagonist, Charismatic Protagonist, Clever Protagonist, Confident Protagonist, Cunning Protagonist, Demi-Humans, Dystopia, Friendship, Hard-Working Protagonist, Hiding True Abilities, Hiding True Identity, Interconnected Storylines, Lack of Common Sense, Love Interest Falls in Love First, Magic Beasts, Male Protagonist, Manipulative Characters, Mature Protagonist, Military, Misunderstandings, Money Grubber, Multiple POV, Orphans, Pets, Philosophical, Politics, Pragmatic Protagonist, Proactive Protagonist, Quirky Characters, Schemes And Conspiracies, Selfish Protagonist, Shameless Protagonist, Sharp-tongued Characters, Special Abilities, Strong Love Interests, Trickster, Twisted Personality, Vampires, Weak Protagonist, Unreliable Narrator, ",4.8,179,324
I Just Inherited The Arcane Emperor's Legacy,WhiteNightingale,"In the Solarian Empire, people were divided by their blood. The nobles enjoyed their life in wealth, with fine wine and amazing food. They reigned supreme over the commoners. The only reason they were able to do this was that they had knowledge of the most powerful force in the world - magic. The nobles controlled their knowledge from easily going to commoners, making it harder for them to learn magic.Leo, a young orphan in Solaria, had an incredibly powerful affinity for magic. He didn't even know about it because he could never learn magic- he was too poor to try and learn from any magic academies. He was just trying to survive the streets of Solhaven until he found the lost tome of the Arcane Emperor.""I can beat a 7th Circle Mage.""""Wow! You must have trained for many decades. How old are you?""""17.""""...""The world was going to be turned upside down.","Adventure, Fantasy, Romance, Action, Comedy","Sword And Magic, Weak to Strong, Male Protagonist, Aristocracy, Magic Formations, Poor to Rich, Absent Parents, European Ambience, Genius Protagonist, ",3.8,720,250
Cursed Immortality,Wahi,"Jacob Steve, an Old Man, died at 116 after living a whole life.But Jacob always had a dark side, which he always suppressed and hid from others.However, in the later years of his life, when death was inevitable, he understood there wasn't any point in having wealth, knowledge, or desires if you couldn't have a life to enjoy them.He became obsessed with fabled immortality and devoted his reaming life to extending his fleeting lifespan, but just like any other failed.However, he mysteriously got another chance at life and found a way that led to fabled immortality.But he was also forewarned that the way led to it was filled with blood and darkness!In the end, Jacob chose it anyway with no way of going back, and it was also the start of his suffering and his icky, brutal journey toward the 'Immortality' he wanted so badly!","Action, Adventure, Xianxia, Martial Arts","Reincarnation, Sword And Magic, R-18, Dark, Immortals, Ruthless Protagonist, Cultivation, Weak to Strong, ",4.1,155,879
The Undead King of the Palace of Darkness (WN),Tsukikage,"I don’t want to die. I want to be free. To that end, I shall….reconcile myself to the fate of becoming a “monster”.A strange disease that racks one’s entire body with intense never-ending pain, until the person slowly withers away and eventually dies. After a few years of braving through the pain, the boy is in no luxury to even feel despair. With nary a soul to tend to him, he breathes his last.The next time he opened his eyes, the boy had become an “Undead” of the lowest rank through the power of an evil Necromancer.The boy rejoices at having his earnest desire fulfilled, which is a body that will never feel pain. However, he realizes that he is still under someone’s control and how it was no different from when he was cooped up in the hospital ward.But the world would not leave alone the boy who only wished for peace.The Necromancer who revives the boy from the dead, names him “End” and attempts to gain control over him.The Undead Knights, lay their lives on the line to persistently chase after and annihilate the beings of the darkness.With countless monsters under their command, the Demon Lords rule over their own lands while they all contend for ultimate supremacy.The motivation being survival and freedom. The requirements being caution and power.This is the tale of the cowardly King of the Undead. In his pursuit for freedom, he heads into battle and turns tail at times. He knows when to fear his opponents and when to waver in his decisions.","Action, Adventure, Fantasy, Romance, Shounen","Adapted to Manga, Animal Characteristics, Beautiful Female Lead, Blood Manipulation, Character Growth, Clever Protagonist, Cruel Characters, Cunning Protagonist, Dead Protagonist, Demon Lord, Dense Protagonist, Depictions of Cruelty, Determined Protagonist, Evolution, Eye Powers, Fantasy World, Hiding True Abilities, Human-Nonhuman Relationship, Humanoid Protagonist, Knights, Loyal Subordinates, Male Protagonist, Necromancer, Quiet Characters, R-15, Selfish Protagonist, Slow Romance, Strong Love Interests, Time Skip, Transformation Ability, Unreliable Narrator, Vampires, Wars, Weak to Strong, Werebeasts, ",4.2,941,160
Transmigrated Scoundrel's Exchange System,Daoist_Drumstick,"Han Cai had a very good life, as he was born into a wealthy merchant family. He had access to anything he wanted, and he was always safe, protected by guards at all times. His family was one of the wealthiest in the town, and no one dared to offend them.All of this was going to change. Han Cai's father was taking him to the Sky Soaring sect, where he would begin his life as a cultivator.His past life was filled with regret and loneliness, and he was grateful for the opportunity to start anew in the world.But honestly, he knew he was a Scoundrel in his past life and will be one in this life too.He looked at his system panel[Name: Han Cai][Age: 10][Life Span: 40 Years]»Strength: 1»Perception: 1»Agility: 1»Speed: 1»Constitution: 1»Intelligence: 2»Charm: 1[Exchange Points: 820 (1/day)][System Update : ? (Collect 1000 Exchange points to unlock)][Initiate Law of Equal Exchange?]","Fantasy, Action, Eastern Fantasy, Adventure","Action, Cultivation, System, Transmigration, Overpowered, Academy, Weak to Strong, Level System, Fast Cultivation, Immortals, Male Protagonist, Accelerated Growth, Anti-social Protagonist, Calm Protagonist, Charming Protagonist, Cheats, Clones, Strength-based Social Hierarchy, Hard-Working Protagonist, ",3.5,982,310
Why Should I Stop Being a Villain,Raos_IOI,"In the midst of a ruined forest, due to the result of the clash between peak powerhouses, a body of a man lay. He was known as the 'Evilest Villain', the worst man ever born in humanity.His body was full of wounds with a spear piercing his heart. However, even in his final moments, he was calm and collected, with his usual cold face.The only thing on his mind was, ""Forgive me, I couldn't keep my promise to you.""He closed his eyes, ready to begin his eternal slumber in the darkness.Suddenly, a blue light appeared, with ancient text that read, 'Do you want to turn back time, my child?'He laughed and said yes.| Fate Devourer System |[Initializing......................24%][Authority: Deus Time Control (Rank ?!?) used][The Goddess of Time wishes you the best].","Fantasy, Romance, Action, Adventure","Romance, Action, Academy, Adventure, System, Reincarnation, Level System, ",3.9,281,452
Martial Cultivator,Unknown Cold,"Chen Chao dreamt of becoming a powerful immortal cultivator, flying on his sword and vanquishing enemies with daoist magic. His hopes were dashed when he discovered that he had absolutely no talent for immortal cultivation.Refusing to submit to his fate, Chen Chao joined the ranks of countless other talentless martial artists and embarked on the path of martial cultivation, a path scorned by the immortal cultivators.In this era of strife where martial cultivators, immortal cultivators, and demonic cultivators wrestled for hegemony, Chen Chao will either rise to the top or fall into eternal damnation.","Action, Adventure, Comedy, Drama, Fantasy, Supernatural, Xuanhuan","Body Tempering, Cautious Protagonist, Cultivation, Demons, Determined Protagonist, Different Social Status, Early Romance, Hard-Working Protagonist, Harsh Training, Hiding True Identity, Immortals, Male Protagonist, Money Grubber, Mysterious Past, Past Plays a Big Role, Pragmatic Protagonist, Sharp-tongued Characters, Smart Couple, Sword Wielder, Weak to Strong, Beautiful Female Lead, Bickering Couple, First-time Interc**rse, Power Couple, ",3.9,742,741
Game of the World Tree,Nom Nom,"In The Kingdom of Elves, the War of Gods 1000 years ago caused the fall of the World Tree. In a world where true gods rule, the fall of the elven civilization came soon after.A 1000 years has passed, the new World Tree is now reborn.Eve Euktrahill, the Mother of Nature, the Goddess of Life, the Great Ruler of Elves. Armed with the ability to connect to the Internet on the blue planet, She(祂, a pronoun used for god) now must rely on players from the blue planet to help her goal of reviving the past glory of the elves and the World Tree.","Action, Adventure, Comedy, Fantasy, Gender Bender, Slice of Life","Demons, Dragons, Druids, Dwarfs, Elves, Evil Gods, Famous Protagonist, Fantasy Creatures, Fantasy World, Female Protagonist, Game Elements, Gamers, Genderless Protagonist, Goblins, God Protagonist, Goddesses, Godly Powers, Gods, Guilds, Hiding True Identity, Inheritance, Kingdom Building, Kingdoms, Level System, Magic, Multiple Identities, Multiple POV, Mysterious Past, Non-humanoid Protagonist, Orcs, Priests, Reincarnated in Another World, Religions, Resurrection, Saints, S*aves, Sword And Magic, System Administrator, Virtual Reality, Wars, World Travel, World Tree, Alternate World, Angels, Livestreaming, ",4.6,216,484
The Misfit of Demon King Academy (WN),Shuu,"After 2000 years has passed, the ruthless demon lord has just been reincarnated! But his aptitude at an academy for nurturing candidates for demon lords is, “Inept”!?Having the capability to destroy humans, elementals, and gods, after a long period of countless wars and strife, Arnos the demon lord became sick and tired of all that and longed for a peaceful world, so he decided to reincarnate to the future.However, what awaited him after his reincarnation is a world too used to peace that his descendants became too weak due to a huge weakening in magical powers.Arnos enrolled in the Maou Academy established to find any students that might be the demon lord’s reincarnation, but his powers are too extraordinary that those in the academy couldn’t properly judge his powers, so he’s regarded as an “Inept student”. Being underestimated and avoided by most people there, he recruited a girl friendly to him, Misha, as his subordinate and comrade, and strives to climb to the top of the demon race hierarchy to one day reclaim his former title and status.","Action, Adventure, Comedy, Drama, Fantasy, Harem, Mystery, Romance, School Life, Shounen","Academy, Adapted to Anime, Adapted to Manga, Apathetic Protagonist, Appearance Different from Actual Age, Arrogant Characters, Battle Academy, Blood Manipulation, Bloodlines, Calm Protagonist, Cheats, Clever Protagonist, Cold Protagonist, Confident Protagonist, Demon Lord, Demons, Dragons, Eye Powers, Fearless Protagonist, Genius Protagonist, Goddesses, Godly Powers, Gods, Handsome Male Lead, Heroes, Human Experimentation, Human Weapon, Humanoid Protagonist, Immortals, Leadership, Love Interest Falls in Love First, Loyal Subordinates, Magic, Male Protagonist, Multiple Identities, Multiple Reincarnated Individuals, Mysterious Past, Necromancer, Nobles, Overpowered Protagonist, Protagonist Strong from the Start, R-15, Reincarnation, Resurrection, Romantic Subplot, Royalty, Ruthless Protagonist, Schemes And Conspiracies, Soul Power, Souls, Special Abilities, Spirits, Sword Wielder, Time Manipulation, Time Skip, Transplanted Memories, Tsundere, Unique Weapon User, Unique Weapons, ",3.2,1065,495
